strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,0,227.0,0.0,0.0,62869.495587375786,155915066.0,1044.0472459376929,56.0,2.5200000000000014,12712.0,0.08512281032777132,549.1584000000001,0.0
Long BTC,Antminer S17,0.04,1,227.0,0.07644795347028649,0.0,63801.248885715184,155915066.0,1044.0554955132884,56.0,2.5200000000000014,12712.0,0.08512348292861524,549.1584000000001,4881.825776385272
Long BTC,Antminer S17,0.04,2,227.0,0.1526277663338813,0.0,62422.53055829017,155915066.0,1044.0553190014134,56.0,2.5200000000000014,12712.0,0.08512346853732508,549.1584000000001,9540.263880672897
Long BTC,Antminer S17,0.04,3,227.0,0.22869079476620488,0.0,61982.02523695105,155915066.0,1044.053237694432,56.0,2.5200000000000014,12712.0,0.08512329884510084,549.1584000000001,14197.717630156294
Long BTC,Antminer S17,0.04,4,227.0,0.30480844808101054,0.0,63137.3029745524,155915066.0,1044.0469857879245,56.0,2.5200000000000014,12712.0,0.08512278911735253,549.1584000000001,19289.81350333361
Long BTC,Antminer S17,0.04,5,227.0,0.3810361834624007,0.0,64212.87690686015,155915066.0,1044.053171576411,56.0,2.5200000000000014,12712.0,0.08512329345439483,549.1584000000001,24535.467836842883
Long BTC,Antminer S17,0.04,6,227.0,0.45690493958337625,0.0,61454.92804629285,155915066.0,1044.0522928287937,56.0,2.5200000000000014,12712.0,0.08512322180872264,549.1584000000001,28152.88870794988
Long BTC,Antminer S17,0.04,7,227.0,0.5329257943788283,0.0,62951.25147377559,155915066.0,1044.0511596912393,56.0,2.5200000000000014,12712.0,0.08512312942223961,549.1584000000001,33643.780579705046
Long BTC,Antminer S17,0.04,8,227.0,0.6088141836927613,0.0,62631.343977845914,155915066.0,1044.0536202486371,56.0,2.5200000000000014,12712.0,0.08512333003534549,549.1584000000001,38250.856679965225
Long BTC,Antminer S17,0.04,9,227.0,0.6847735416289242,0.0,63867.41526775052,155915066.0,1044.0499477765557,56.0,2.5200000000000014,12712.0,0.08512303061293368,549.1584000000001,43901.88797785702
Long BTC,Antminer S17,0.04,10,227.0,0.7606368479883657,0.0,62888.612737255695,155915066.0,1044.0511601115718,56.0,2.5200000000000014,12712.0,0.08512312945651,549.1584000000001,48010.03673856824
Long BTC,Antminer S17,0.04,11,227.0,0.8362241321100967,0.0,61661.40800396596,155915066.0,1044.056265434014,56.0,2.5200000000000014,12712.0,0.08512354570146019,549.1584000000001,51791.122173376294
Long BTC,Antminer S17,0.04,12,227.0,0.911757248308153,0.0,61493.35947017396,155915066.0,1044.052118741076,56.0,2.5200000000000014,12712.0,0.08512320761507781,549.1584000000001,56339.28787664797
Long BTC,Antminer S17,0.04,13,227.0,0.9868609330690721,0.0,61131.382230382005,155915066.0,1044.0491517180913,56.0,2.5200000000000014,12712.0,0.08512296570903784,549.1584000000001,60723.79668571
Long BTC,Antminer S17,0.04,14,227.0,1.0618969299503194,0.0,61361.996771260034,155915066.0,1044.055606820008,56.0,2.5200000000000014,12712.0,0.08512349200362677,549.1584000000001,65631.7273999176
Long BTC,Antminer S17,0.04,15,227.0,1.136924088482327,0.0,60885.588883453835,159490741.36,1044.0516443870238,56.0,2.5200000000000014,12712.0,0.08321507280865309,549.1584000000001,69729.30910058883
Long BTC,Antminer S17,0.04,16,227.0,1.2097157375087308,0.0,60343.08553096327,159699030.48,1044.0479430525288,56.0,2.5200000000000014,12712.0,0.08310644611340626,549.1584000000001,73610.68137896921
Long BTC,Antminer S17,0.04,17,227.0,1.2823614437162063,0.0,62848.30185074299,159841647.56,1044.055660655575,56.0,2.5200000000000014,12712.0,0.08303304832994902,549.1584000000001,81441.11068071556
Long BTC,Antminer S17,0.04,18,227.0,1.3550951516599568,0.0,62068.76430125128,159913439.48,1044.0524247123913,56.0,2.5200000000000014,12712.0,0.08299574387626292,549.1584000000001,84915.95134563764
