strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,0,227.0,0.0,0.0,62869.495587375786,155915066.0,1044.0555136761163,56.0,2.5200000000000014,12712.0,0.08512348440945913,549.1584000000001,0.0
Long BTC,Antminer S17,0.04,1,227.0,0.07675607324790672,0.0,66495.89685863144,155915066.0,1044.0509290017574,56.0,2.5200000000000014,12712.0,0.08512311061376414,549.1584000000001,5111.178348228827
Long BTC,Antminer S17,0.04,2,227.0,0.15323767831277066,0.0,65680.20633535803,155915066.0,1044.0515222262534,56.0,2.5200000000000014,12712.0,0.08512315898028826,549.1584000000001,10091.55029886037
Long BTC,Antminer S17,0.04,3,227.0,0.22944598290796805,0.0,64414.64854701559,155915066.0,1044.0519126548265,56.0,2.5200000000000014,12712.0,0.08512319081254248,549.1584000000001,14829.92308072975
Long BTC,Antminer S17,0.04,4,227.0,0.3052556498486813,0.0,62151.087473125735,155915066.0,1044.0529228154103,56.0,2.5200000000000014,12712.0,0.08512327317252004,549.1584000000001,19047.737726087093
Long BTC,Antminer S17,0.04,5,227.0,0.3810871748721321,0.0,62913.26351121301,155915066.0,1044.0580209549225,56.0,2.5200000000000014,12712.0,0.08512368883183473,549.1584000000001,24088.57994770532
Long BTC,Antminer S17,0.04,6,227.0,0.45691711968852466,0.0,63546.9729670333,155915066.0,1044.048219341365,56.0,2.5200000000000014,12712.0,0.08512288969090022,549.1584000000001,29179.06129687842
Long BTC,Antminer S17,0.04,7,227.0,0.5328313008089952,0.0,65148.90555968843,155915066.0,1044.0500729368869,56.0,2.5200000000000014,12712.0,0.08512304081745188,549.1584000000001,34915.6396697553
Long BTC,Antminer S17,0.04,8,227.0,0.6089060211171266,0.0,66679.34793989749,155915066.0,1044.051596762225,56.0,2.5200000000000014,12712.0,0.08512316505732297,549.1584000000001,40843.49068077498
Long BTC,Antminer S17,0.04,9,227.0,0.6851070627264193,0.0,69346.83885942698,155915066.0,1044.0525683454973,56.0,2.5200000000000014,12712.0,0.08512324427203181,549.1584000000001,47860.527986250985
Long BTC,Antminer S17,0.04,10,227.0,0.7611814085508631,0.0,70245.51154536146,155915066.0,1044.0513689610539,56.0,2.5200000000000014,12712.0,0.085123146484336,549.1584000000001,53928.760584129064
Long BTC,Antminer S17,0.04,11,227.0,0.8373960668497127,0.0,70713.61572364578,155915066.0,1044.0532214233467,56.0,2.5200000000000014,12712.0,0.08512329751849369,549.1584000000001,59726.87741053859
Long BTC,Antminer S17,0.04,12,227.0,0.9134778292443485,0.0,71114.5388551986,155915066.0,1044.0496545213691,56.0,2.5200000000000014,12712.0,0.08512300670337815,549.1584000000001,65592.99402498407
Long BTC,Antminer S17,0.04,13,227.0,0.9896590857963674,0.0,70116.19522899389,155915066.0,1044.0496128750406,56.0,2.5200000000000014,12712.0,0.08512300330788762,549.1584000000001,70015.58327705399
Long BTC,Antminer S17,0.04,14,227.0,1.0656970903081904,0.0,72516.14439084088,155915066.0,1044.0517853140432,56.0,2.5200000000000014,12712.0,0.08512318043024862,549.1584000000001,78112.47688765958
Long BTC,Antminer S17,0.04,15,227.0,1.141474539403477,0.0,73515.4966210364,159370053.16,1044.051554360012,56.0,2.5200000000000014,12712.0,0.0832782714577797,549.1584000000001,84922.93620975938
Long BTC,Antminer S17,0.04,16,227.0,1.2154425602214303,0.0,73757.97087507247,159596644.36,1044.056138778194,56.0,2.5200000000000014,12712.0,0.08316080156152861,549.1584000000001,90756.23825428949
Long BTC,Antminer S17,0.04,17,227.0,1.2895266632648328,0.0,77131.34488798062,159790380.84,1044.0516705041894,56.0,2.5200000000000014,12712.0,0.08305961483309833,549.1584000000001,100733.14965097039
Long BTC,Antminer S17,0.04,18,227.0,1.3634293809990141,0.0,75655.5740282761,159984218.96,1044.0520350578581,56.0,2.5200000000000014,12712.0,0.0829594292968256,549.1584000000001,104500.20859329902
Long BTC,Antminer S17,0.04,19,227.0,1.437064788470907,0.0,75997.54153986422,160072350.84,1044.0515568560463,56.0,2.5200000000000014,12712.0,0.08291404053480773,549.1584000000001,110701.12234970572
Long BTC,Antminer S17,0.04,20,227.0,1.510427638901132,0.0,74501.95092682735,160182129.96,1044.0500255146521,56.0,2.5200000000000014,12712.0,0.0828577307064278,549.1584000000001,114120.29789143727
Long BTC,Antminer S17,0.04,21,227.0,1.5831970363939345,0.0,71437.0528090725,160246139.0,1044.0513666309548,56.0,2.5200000000000014,12712.0,0.08282569156967236,549.1584000000001,114777.8320424948
Long BTC,Antminer S17,0.04,22,227.0,1.655914433423645,0.0,72357.57112298944,162486312.72,1044.0477825571602,56.0,2.5200000000000014,12712.0,0.08168448048577893,549.1584000000001,121804.77269367343
Long BTC,Antminer S17,0.04,23,227.0,1.7277886119835346,0.0,75755.68101336058,162693352.6,1044.0529188017279,56.0,2.5200000000000014,12712.0,0.08158178269250792,549.1584000000001,133300.45618692169
Long BTC,Antminer S17,0.04,24,227.0,1.7993751502618867,0.0,74596.95886542083,162881696.6,1044.049893973267,56.0,2.5200000000000014,12712.0,0.0814880652476657,549.1584000000001,136778.42447025585
Long BTC,Antminer S17,0.04,25,227.0,1.8707582163731602,0.0,74796.0491710241,163049827.96,1044.0518932402738,56.0,2.5200000000000014,12712.0,0.08140492671596043,549.1584000000001,142772.7003586869
Long BTC,Antminer S17,0.04,26,227.0,1.941877807443841,0.0,75782.31695045346,163188160.32,1044.0577534606055,56.0,2.5200000000000014,12712.0,0.08133692086517146,549.1584000000001,150461.31082242704
Long BTC,Antminer S17,0.04,27,227.0,2.0128745836881596,0.0,75269.68776892597,163331513.24,1044.046921077377,56.0,2.5200000000000014,12712.0,0.08126546684932007,549.1584000000001,154935.66056406588
Long BTC,Antminer S17,0.04,28,227.0,2.083709041453776,0.0,73400.42338273936,163474631.52,1044.0492304875154,56.0,2.5200000000000014,12712.0,0.08119631571638754,549.1584000000001,156315.16369078823
